Title	Remove User Host-Based Authentication Files
Rule	no_user_host_based_files
Result	pass

Title	Remove Host-Based Authentication Files
Rule	no_host_based_files
Result	pass

Title	Uninstall rsh-server Package
Rule	package_rsh-server_removed
Result	pass

Title	Uninstall telnet-server Package
Rule	package_telnet-server_removed
Result	pass

Title	Uninstall ypserv Package
Rule	package_ypserv_removed
Result	pass

Title	Uninstall tftp-server Package
Rule	package_tftp-server_removed
Result	pass

Title	Ensure tftp Daemon Uses Secure Mode
Rule	tftpd_uses_secure_mode
Result	pass

Title	Uninstall vsftpd Package
Rule	package_vsftpd_removed
Result	pass

Title	Ensure Default SNMP Password Is Not Used
Rule	snmpd_not_default_password
Result	pass

Title	Verify Group Who Owns /etc/cron.allow file
Rule	file_groupowner_cron_allow
Result	pass

Title	Verify User Who Owns /etc/cron.allow file
Rule	file_owner_cron_allow
Result	pass

Title	Remove the X Windows Package Group
Rule	package_xorg-x11-server-common_removed
Result	pass

Title	Configure SSSD LDAP Backend Client CA Certificate Location
Rule	sssd_ldap_configure_tls_ca_dir
Result	notapplicable

Title	Configure SSSD LDAP Backend to Use TLS For All Transactions
Rule	sssd_ldap_start_tls
Result	notapplicable

Title	Configure SSSD LDAP Backend Client CA Certificate
Rule	sssd_ldap_configure_tls_ca
Result	notapplicable

Title	Configure PAM in SSSD Services
Rule	sssd_enable_pam_services
Result	notapplicable

Title	Configure Time Service Maxpoll Interval
Rule	chronyd_or_ntpd_set_maxpoll
Result	fail

Title	Disable KDump Kernel Crash Analyzer (kdump)
Rule	service_kdump_disabled
Result	fail

Title	Prevent Unrestricted Mail Relaying
Rule	postfix_prevent_unrestricted_relay
Result	notchecked

Title	Mount Remote Filesystems with noexec
Rule	mount_option_noexec_remote_filesystems
Result	pass

Title	Mount Remote Filesystems with Kerberos Security
Rule	mount_option_krb_sec_remote_filesystems
Result	pass

Title	Mount Remote Filesystems with nosuid
Rule	mount_option_nosuid_remote_filesystems
Result	pass

Title	Disable SSH Support for User Known Hosts
Rule	sshd_disable_user_known_hosts
Result	error

Title	Disable SSH Access via Empty Passwords
Rule	sshd_disable_empty_passwords
Result	error

Title	Set SSH Client Alive Max Count
Rule	sshd_set_keepalive
Result	error

Title	Set SSH Idle Timeout Interval
Rule	sshd_set_idle_timeout
Result	error

Title	Enable SSH Warning Banner
Rule	sshd_enable_warning_banner
Result	error

Title	Use Only FIPS 140-2 Validated MACs
Rule	sshd_use_approved_macs
Result	unknown

Title	Disable Kerberos Authentication
Rule	sshd_disable_kerb_auth
Result	error

Title	Allow Only SSH Protocol 2
Rule	sshd_allow_only_protocol2
Result	error

Title	Disable SSH Support for .rhosts Files
Rule	sshd_disable_rhosts
Result	error

Title	Disable SSH Support for Rhosts RSA Authentication
